LR No,Date,To Customer,From Place,To Place,Quantity,Amount,Payment Method,Accounted Date
271945,22-11-2025,UNIQUE GARMENTS,COIMBATORE,CHENNAI,4,740.0,1,
1506,22-11-2025,JOHN RAJ,COIMBATORE,CHENNAI,50,5800.0,1,
273484,22-11-2025,SHRI RATHNA AKSHAYA,COIMBATORE,CHENNAI,8,2400.0,2,
273451,22-11-2025,SARAVANA SELVARATHNAM,COIMBATORE,CHENNAI,4,880.0,2,
10359,22-11-2025,FASHION,COIMBATORE,CHENNAI,1,400.0,1,
10358,22-11-2025,MANGALON SPORTS,COIMBATORE,CHENNAI,2,800.0,1,
738,22-11-2025,JULLUNDUR MORTARS,COIMBATORE,CHENNAI,3,600.0,2,
269,22-11-2025,UKR,COIMBATORE,CHENNAI,1,380.0,1,
12202,22-11-2025,PANDA,COIMBATORE,CHENNAI,1,370.0,2,
235,22-11-2025,DR ROOPA,COIMBATORE,CHENNAI,1,400.0,2,
1706,22-11-2025,KS MOHAMMED,COIMBATORE,CHENNAI,31,8215.0,1,
236,22-11-2025,UNAS,COIMBATORE,CHENNAI,1,150.0,1,
270,22-11-2025,M DHAYA,COIMBATORE,CHENNAI,1,230.0,1,
272761,22-11-2025,NAGARAJ,TIRUPUR,CHENNAI,1,200.0,1,
273475,22-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,13,3250.0,1,
9643,22-11-2025,MAHAVIR POLY,TIRUPUR,CHENNAI,1,150.0,1,
273588,22-11-2025,TRUE LEGEND,TIRUPUR,CHENNAI,1,250.0,1,
9644,22-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,120.0,3,
273482,22-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,1,100.0,3,
273488,22-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,4,400.0,3,
273495,22-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,1,100.0,3,
273514,22-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,2,200.0,3,
250581,03-11-2025,NAWAS LINING,TIRUPUR,CHENNAI,2,260.0,1,
250939,03-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,4,1000.0,1,
251124,03-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,9,2250.0,1,
9216,03-11-2025,MAHAVIR POLY,TIRUPUR,CHENNAI,1,150.0,1,
250964,03-11-2025,S.K INDUSTRIAL,TIRUPUR,CHENNAI,1,120.0,2,
9215,03-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,100.0,2,
9217,03-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,120.0,3,
250590,03-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,1,150.0,3,
250977,03-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,23,3220.0,3,
251186,03-11-2025,SARAVANA STORES,TIRUPUR,CHENNAI,1,140.0,3,
251424,04-11-2025,BAID THREAD,TIRUPUR,CHENNAI,2,400.0,1,
251988,04-11-2025,PEMI EXPORT,TIRUPUR,CHENNAI,1,110.0,1,
252187,04-11-2025,MAHAVEERA TRADING,TIRUPUR,CHENNAI,1,200.0,1,
252210,04-11-2025,CREATIVE ENTERPRISES,TIRUPUR,CHENNAI,1,110.0,1,
252310,04-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,2,500.0,1,
252440,04-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,8,2000.0,1,
9245,04-11-2025,MAHAVIR POLY,TIRUPUR,CHENNAI,5,750.0,1,
252250,04-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,300.0,1,
252271,04-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,31,2240.0,3,
251477,04-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,2,200.0,3,
252195,04-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,4,560.0,3,
252579,05-11-2025,BAID THREAD,TIRUPUR,CHENNAI,1,200.0,1,
252681,05-11-2025,BALAMURUGAN,TIRUPUR,CHENNAI,7,2240.0,1,
252682,05-11-2025,V K M,TIRUPUR,CHENNAI,3,960.0,1,
252728,05-11-2025,DEVSHREE INTERNATIONAL,TIRUPUR,CHENNAI,2,160.0,1,
252732,05-11-2025,SUBH SRI AGENCIES,TIRUPUR,CHENNAI,3,240.0,1,
253462,05-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,6,1500.0,1,
253725,05-11-2025,PREFERRED TRADE,TIRUPUR,CHENNAI,3,660.0,1,
9264,05-11-2025,BALAMURUGAN,TIRUPUR,CHENNAI,8,2560.0,1,
9267,05-11-2025,MAHAVIR POLY,TIRUPUR,CHENNAI,1,150.0,1,
9268,05-11-2025,YAMINI SCREEN,TIRUPUR,CHENNAI,1,110.0,1,
253125,05-11-2025,ASPIRE WINDOWS,TIRUPUR,CHENNAI,20,7000.0,1,
9266,05-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,150.0,2,
253151,05-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,1,100.0,3,
253161,05-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,3,300.0,3,
253757,05-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,5,800.0,3,
253772,05-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,3,480.0,3,
253778,05-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,3,480.0,3,
253782,05-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,5,500.0,3,
253786,05-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,2,200.0,3,
254112,06-11-2025,MAHAVEERA TRADING,TIRUPUR,CHENNAI,1,200.0,1,
254926,06-11-2025,MAHAVIR POLY,TIRUPUR,CHENNAI,1,150.0,1,
255076,06-11-2025,CREATIVE ENTERPRISES,TIRUPUR,CHENNAI,1,120.0,1,
9288,06-11-2025,NAGARAJ,TIRUPUR,CHENNAI,1,150.0,1,
9292,06-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,3,750.0,1,
254027,06-11-2025,SUN INDUSTRIAL,TIRUPUR,CHENNAI,1,120.0,2,
254133,06-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,3,480.0,3,
254812,06-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,16,2240.0,3,
255969,07-11-2025,AMS THREADS,TIRUPUR,CHENNAI,1,200.0,1,
256188,07-11-2025,PREFERRED TRADE,TIRUPUR,CHENNAI,3,660.0,1,
256203,07-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,2,500.0,1,
256413,07-11-2025,MAHAVIR POLY,TIRUPUR,CHENNAI,5,750.0,1,
256423,07-11-2025,FYR MOHINI PRINTS,TIRUPUR,CHENNAI,1,110.0,1,
255795,07-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,2,350.0,2,
256233,07-11-2025,NATIONAL TEXTILES,TIRUPUR,CHENNAI,15,2100.0,1,
256447,07-11-2025,NATIONAL TEXTILES,TIRUPUR,CHENNAI,25,3500.0,1,
255547,07-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,1,100.0,3,
255571,07-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,2,300.0,3,
257493,08-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,3,750.0,1,
257519,08-11-2025,JAGADESH,TIRUPUR,CHENNAI,1,100.0,1,
257640,08-11-2025,MAHAVIR POLY,TIRUPUR,CHENNAI,2,300.0,1,
257776,08-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,7,1750.0,1,
9350,08-11-2025,BAID THREAD,TIRUPUR,CHENNAI,1,200.0,1,
257211,08-11-2025,SUDI STORE,TIRUPUR,CHENNAI,1,100.0,1,
257486,08-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,16,1300.0,3,
257539,08-11-2025,MSN TRADERS,TIRUPUR,CHENNAI,10,1500.0,1,
257588,08-11-2025,STANFAB MUGAPPAIR,TIRUPUR,CHENNAI,57,7670.0,1,
9344,08-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,100.0,2,
257077,08-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,1,150.0,3,
257084,08-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,1,150.0,3,
257093,08-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,3,480.0,3,
257102,08-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,1,100.0,3,
258847,10-11-2025,PREFERRED TRADE,TIRUPUR,CHENNAI,2,440.0,1,
9366,10-11-2025,BALAMURUGAN,TIRUPUR,CHENNAI,8,2560.0,1,
9370,10-11-2025,BOB FASHION,TIRUPUR,CHENNAI,1,150.0,1,
9371,10-11-2025,KASI,TIRUPUR,CHENNAI,1,100.0,2,
9372,10-11-2025,MAHAVIR POLY,TIRUPUR,CHENNAI,1,150.0,1,
9374,10-11-2025,YAMINI SCREEN,TIRUPUR,CHENNAI,1,110.0,1,
257982,10-11-2025,BHARAT SEVAK,TIRUPUR,CHENNAI,20,7400.0,2,
258105,10-11-2025,NATIONAL TEXTILES,TIRUPUR,CHENNAI,19,2660.0,1,
258325,10-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,120.0,2,
259067,10-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,18,3600.0,1,
9368,10-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,3,300.0,3,
9373,10-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,100.0,2,
258120,10-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,1,100.0,3,
258462,10-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,4,400.0,3,
258568,10-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,3,450.0,3,
258868,10-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,6,840.0,3,
260159,11-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,9,2250.0,1,
9385,11-11-2025,JB FASHION,TIRUPUR,CHENNAI,1,250.0,1,
9392,11-11-2025,MAHAVIR POLY,TIRUPUR,CHENNAI,1,150.0,1,
9394,11-11-2025,YAMINI SCREEN,TIRUPUR,CHENNAI,1,110.0,1,
259653,11-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,120.0,2,
260291,11-11-2025,AALAYAMS AUTOTECH,TIRUPUR,CHENNAI,45,5720.0,1,
9390,11-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,250.0,1,
9391,11-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,100.0,2,
259380,11-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,2,200.0,3,
259682,11-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,4,400.0,3,
260373,11-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,3,420.0,3,
261542,12-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,2,500.0,1,
261742,12-11-2025,MAHAVIR POLY,TIRUPUR,CHENNAI,4,600.0,1,
9415,12-11-2025,LOYAL CROWN,TIRUPUR,CHENNAI,5,1250.0,1,
261233,12-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,150.0,2,
261734,12-11-2025,NATIONAL TEXTILES,TIRUPUR,CHENNAI,8,1120.0,1,
261935,12-11-2025,NATIONAL TEXTILES,TIRUPUR,CHENNAI,55,7700.0,1,
262212,13-11-2025,SUBH SRI AGENCIES,TIRUPUR,CHENNAI,1,80.0,1,
263190,13-11-2025,BIGFI PRINT,TIRUPUR,CHENNAI,1,110.0,1,
263276,13-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,5,1250.0,1,
263284,13-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,1,250.0,1,
9449,13-11-2025,DHASARATHAN,TIRUPUR,CHENNAI,1,150.0,1,
263295,13-11-2025,COTTON WORLD,TIRUPUR,CHENNAI,3,960.0,1,
263308,13-11-2025,COTTON WORLD,TIRUPUR,CHENNAI,3,1460.0,1,
263325,13-11-2025,COTTON WORLD,TIRUPUR,CHENNAI,4,1280.0,1,
9446,13-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,100.0,2,
263353,13-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,5,500.0,3,
263354,13-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,23,3220.0,3,
264872,15-11-2025,MSN TRADERS,TIRUPUR,CHENNAI,10,1500.0,1,
265198,15-11-2025,DAFFODIL GRAVURE,TIRUPUR,CHENNAI,2,300.0,1,
265438,15-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,4,1000.0,1,
265778,15-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,3,750.0,1,
9493,15-11-2025,MAHAVIR POLY,TIRUPUR,CHENNAI,3,450.0,1,
265709,15-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,52,3860.0,3,
264611,15-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,1,100.0,3,
265905,17-11-2025,BOMBAY AGENCIES,TIRUPUR,CHENNAI,1,200.0,1,
266140,17-11-2025,SUBH SRI AGENCIES,TIRUPUR,CHENNAI,1,100.0,1,
266256,17-11-2025,AK ISMAIL,TIRUPUR,CHENNAI,1,350.0,1,
266302,17-11-2025,BABU AGENCIES,TIRUPUR,CHENNAI,2,400.0,1,
266960,17-11-2025,MAHAVIR POLY,TIRUPUR,CHENNAI,3,450.0,1,
267050,17-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,4,1000.0,1,
9494,17-11-2025,BALAMURUGAN,TIRUPUR,CHENNAI,5,1600.0,1,
9495,17-11-2025,V K M,TIRUPUR,CHENNAI,4,1280.0,1,
9506,17-11-2025,BAID THREAD,TIRUPUR,CHENNAI,1,200.0,1,
265933,17-11-2025,VIMAL,TIRUPUR,CHENNAI,7,1400.0,1,
9513,17-11-2025,BILAL,TIRUPUR,CHENNAI,1,100.0,1,
9516,17-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,150.0,2,
267026,17-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,5,500.0,3,
267041,17-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,33,4620.0,3,
267052,17-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,6,600.0,3,
267054,17-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,2,200.0,3,
269412,19-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,5,1250.0,1,
269780,19-11-2025,VANDANA TRADERS,TIRUPUR,CHENNAI,1,150.0,1,
269787,19-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,3,600.0,1,
9560,19-11-2025,MANGAL AGENCIES,TIRUPUR,CHENNAI,1,150.0,1,
9561,19-11-2025,MAHAVIR POLY,TIRUPUR,CHENNAI,1,150.0,1,
9565,19-11-2025,YAMINI SCREEN,TIRUPUR,CHENNAI,1,120.0,1,
268935,19-11-2025,NATIONAL TEXTILES,TIRUPUR,CHENNAI,19,2660.0,1,
269783,19-11-2025,BHARAT SEVAK,TIRUPUR,CHENNAI,2,500.0,2,
268677,19-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,2,200.0,3,
250042,01-11-2025,EMCO CLOTHE,TIRUPUR,CHENNAI,5,1250.0,1,
9198,01-11-2025,NAWAS LINING,TIRUPUR,CHENNAI,2,400.0,1,
9201,01-11-2025,V K M,TIRUPUR,CHENNAI,2,640.0,1,
9202,01-11-2025,BALAMURUGAN,TIRUPUR,CHENNAI,2,640.0,1,
9203,01-11-2025,FASHION BHIM,TIRUPUR,CHENNAI,1,220.0,1,
249954,01-11-2025,NATIONAL TEXTILES,TIRUPUR,CHENNAI,30,4200.0,1,
9200,01-11-2025,SRI STI GARMENTS,TIRUPUR,CHENNAI,1,100.0,2,
249108,01-11-2025,RATHI AND RATHI,TIRUPUR,CHENNAI,2,200.0,3,
375,17-11-2025,SHAFFI,COIMBATORE,CHENNAI,5,5800.0,2,
1644,22-11-2025,CHATTAYIL BAGS,WALLTAX,MUVATUPUZHA,7,1100.0,1,
1645,22-11-2025,JEEVAN TRADERS,WALLTAX,CHERTHALA,5,1750.0,1,
1646,22-11-2025,DRILL & DRIVE,WALLTAX,EDAPPAL,7,1100.0,1,
1647,22-11-2025,YANTHRIK,WALLTAX,MUKKAM,3,660.0,1,
1648,22-11-2025,BRIDGE & ROPE,WALLTAX,MANGALORE,3,750.0,1,
1649,22-11-2025,SUNERS AMBANI,WALLTAX,THRISSUR,2,400.0,1,
1650,22-11-2025,THIRUPUR COTTON,WALLTAX,OTTAPALAM,1,400.0,1,
1651,22-11-2025,ANALOG AUDIO,WALLTAX,ANGAMALY,1,260.0,1,
1652,22-11-2025,TAILORS MART,WALLTAX,ERNAKULAM,1,300.0,1,
1653,22-11-2025,AAYUSH FOOD,WALLTAX,COIMBATORE,26,5200.0,1,
1654,22-11-2025,SAGAR REXIN,WALLTAX,VADAGARA,1,200.0,1,
1655,22-11-2025,SHAH & CO,WALLTAX,KANNUR,1,200.0,1,
1656,22-11-2025,AL HIBA,WALLTAX,TRIVANDRUM,1,400.0,1,
1657,22-11-2025,KANJIRAPALLY,WALLTAX,PONKUNNAM,1,380.0,1,
1658,22-11-2025,JEEVAN TRADERS,WALLTAX,TALIPARAMBA,1,350.0,1,
1659,22-11-2025,KABIL BHAI,WALLTAX,THRISSUR,1,250.0,1,
1660,22-11-2025,DIE TECH,WALLTAX,KASARGOD,1,300.0,1,
1661,22-11-2025,SHEETAL FLOWER,WALLTAX,MANGALORE,1,400.0,1,
1662,22-11-2025,BRIGHT POINT,WALLTAX,CALICUT,1,280.0,1,
1663,22-11-2025,NEW SR,WALLTAX,CALICUT,2,800.0,1,
1664,22-11-2025,KAILASH,WALLTAX,TIRUPUR,5,1000.0,1,
1665,22-11-2025,BRIGHT POINT,WALLTAX,CALICUT,1,250.0,1,
1666,22-11-2025,BRIGHT POINT,WALLTAX,CALICUT,1,250.0,1,
1667,22-11-2025,V ONE AGENCIES,WALLTAX,KOTTAKAL,34,9180.0,1,
1668,22-11-2025,PKA TUBES,WALLTAX,PALAKAD,5,1750.0,1,
1669,22-11-2025,PRIME STEEL,WALLTAX,ALAPUZHA,1,450.0,1,
1670,22-11-2025,STANDARD,WALLTAX,THAMARASERY,4,1200.0,1,
1671,22-11-2025,T.J DISTRIBUTORS,WALLTAX,VARAPUZHA,6,2780.0,2,
1672,22-11-2025,CHANDU,WALLTAX,CHERPULASERY,2,500.0,1,
1673,22-11-2025,AVORIZ LIGHT,WALLTAX,KASARGOD,1,350.0,1,
1674,22-11-2025,PKA TUBES,WALLTAX,PALAKAD,6,2600.0,1,
1675,22-11-2025,HARIS KP,WALLTAX,THAMARASERY,1,450.0,1,
1676,22-11-2025,DELIGHT,WALLTAX,KOLLAM,3,750.0,1,
1677,24-11-2025,COTTON FABRIS,WALLTAX,TIRUR,1,300.0,1,
1678,24-11-2025,PRIME STEEL,WALLTAX,ALAPUZHA,2,1400.0,1,
1679,24-11-2025,PRIME STEEL,WALLTAX,ALAPUZHA,1,700.0,1,
1680,24-11-2025,JEEVAN TRADERS,WALLTAX,THAMARASERY,3,1050.0,1,
1681,24-11-2025,SINGAPORE PLAZA,WALLTAX,COIMBATORE,2,600.0,1,
1682,24-11-2025,THE EXECUTIVE,WALLTAX,THRISSUR,1,900.0,2,
1683,24-11-2025,EAGLE BROOM,WALLTAX,KANNUR,2,1100.0,1,
1684,24-11-2025,KERALA ELECTRICAL,WALLTAX,KASARGOD,1,250.0,1,
1685,24-11-2025,BITONE CHEM,WALLTAX,TIRUPUR,6,1500.0,1,
1686,24-11-2025,SINGAPORE PLAZA,WALLTAX,COIMBATORE,1,150.0,1,
1687,24-11-2025,RAJA ELECTRICAL,WALLTAX,TIRUPUR,1,120.0,1,
1688,24-11-2025,KAIMANNIL ENTERPRISES,WALLTAX,PATHANAMTHOTA,5,1250.0,1,
1690,24-11-2025,ARJIN,WALLTAX,ETTUMANOOR,1,300.0,2,
1691,24-11-2025,PAIRFIX LABELS,WALLTAX,TIRUPUR,1,150.0,1,
1692,24-11-2025,BROTHERS TRADERS,WALLTAX,KANNUR,3,1200.0,1,
1693,24-11-2025,SINGAPORE PLAZA,WALLTAX,COIMBATORE,3,600.0,1,
1694,24-11-2025,MIDAS DEALERS,WALLTAX,ALATHUR,1,250.0,2,
1695,24-11-2025,AQUA TERRA,WALLTAX,TIRUPUR,21,4200.0,1,
1696,24-11-2025,ANALOG AUDIO,WALLTAX,ANGAMALY,1,250.0,1,
1697,24-11-2025,STANDARD,WALLTAX,THAMARASERY,2,600.0,1,
1698,24-11-2025,PS TRADERS,WALLTAX,MANGALORE,3,900.0,1,
1699,24-11-2025,GANI TRADING,WALLTAX,KOLLAM,2,540.0,1,
1700,24-11-2025,MINA AGENCIES,WALLTAX,KONDOTI,27,6900.0,1,
1702,24-11-2025,ACB CHEMICALS,WALLTAX,THAMARASERY,9,1850.0,2,
1703,24-11-2025,HARIS KP,WALLTAX,KOZHIKODE,3,1000.0,1,
1704,24-11-2025,LOTUS ENTERPRISES,WALLTAX,PERUMBAVOOR,1,250.0,1,
1705,24-11-2025,BHAVANI SPICES,WALLTAX,MYSORE,3,900.0,1,
